src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,total_fwd_pkts,total_bwd_pkts,total_fwd_bytes,total_bwd_bytes,bytes_per_sec,packets_per_sec,packet_len_mean,packet_len_std,label
147.32.86.89,195.250.146.107,2181,554,6,1313495484.072867,1275.7953610420227,2770,4853,149580,262062,322.65519421844107,5.97509618923039,54.0,0.0,0
147.32.84.172,88.176.79.163,46696,49375,6,1313495484.072984,1277.2424399852753,59512,33685,3213648,1818990,3940.237062634733,72.96735301175431,54.0,0.0,0
147.32.84.59,88.198.7.139,7525,51012,17,1313495484.073499,1255.751466035843,1559,748,65478,31416,77.16017270987152,1.8371469692826552,42.0,0.0,0
147.32.84.59,193.23.48.224,41546,443,6,1313495484.07776,17.42899799346924,11,9,594,486,61.96569650215596,1.1475128981880731,54.0,0.0,0
147.32.84.59,74.125.39.117,37539,80,6,1313495484.078836,21.320971965789795,7,5,378,270,30.3926106670811,0.5628261234644648,54.0,0.0,0
147.32.84.59,74.125.232.202,40200,443,6,1313495484.084137,1253.4459619522097,102,102,5508,5508,8.78857193240534,0.1627513320815803,54.0,0.0,0
147.32.80.13,147.32.85.88,80,61531,6,1313495484.086487,1277.3869149684906,26262,14326,1418148,773604,1715.809027254725,31.77424124545787,54.0,0.0,0
147.32.87.238,212.109.130.47,39371,36966,17,1313495484.087209,1e-06,1,0,42,0,42000000.0,1000000.0,42.0,0.0,0
147.32.80.13,147.32.85.117,80,3534,6,1313495484.088043,0.5800399780273438,23,17,1242,918,3723.881252712852,68.96076393912689,54.0,0.0,0
147.32.80.13,147.32.85.117,80,3539,6,1313495484.089709,0.5783810615539551,59,40,3186,2160,9243.041232430276,171.1674302301903,54.0,0.0,0
147.32.80.13,147.32.84.162,80,50342,6,1313495484.091129,1277.359601020813,18385,8978,992790,484812,1156.7627462299274,21.42153233759125,54.0,0.0,0
147.32.86.165,208.88.186.10,65254,34032,6,1313495484.094947,1259.984375,134,179,7236,9666,13.4144520641377,0.2484157789655129,54.0,0.0,0
147.32.84.229,80.63.57.71,443,15426,6,1313495484.097557,1257.5770499706268,632,683,34128,36882,56.46572510341103,1.045661575989093,54.0,0.0,0
147.32.84.229,188.109.39.12,13363,13498,17,1313495484.097852,613.8788719177246,2,2,84,84,0.2736696239034535,0.0065159434262727,42.0,0.0,0
147.32.80.13,147.32.84.138,514,2990,17,1313495484.099582,1277.3209850788116,6981,0,293202,0,229.54449462983592,5.465345110234188,42.0,0.0,0
147.32.85.34,85.160.19.97,22,33862,6,1313495484.099999,1214.7058210372925,4842,6991,261468,377514,526.0384769164474,9.741453276230509,54.0,0.0,0
147.32.84.59,74.63.47.82,61742,80,6,1313495484.107108,1277.4042887687683,7567,15502,408618,837108,975.201047117744,18.059278650328597,54.0,0.0,0
147.32.86.171,209.85.148.105,3618,80,6,1313495484.113626,1.9510889053344729,8,16,432,864,664.2444618779831,12.3008233681108,54.0,0.0,0
147.32.86.172,66.220.158.11,54576,80,6,1313495484.130643,1270.526447057724,127,124,6858,6696,10.668018781811472,0.1975559033668791,54.0,0.0,0
147.32.84.94,78.46.51.209,34621,38088,6,1313495484.131391,1e-06,1,0,54,0,54000000.0,1000000.0,54.0,0.0,0
147.32.86.50,205.188.10.251,49178,5190,6,1313495484.132964,1270.5596420764923,45,46,2430,2484,3.867587035874196,0.0716219821458184,54.0,0.0,0
147.32.84.229,188.188.66.252,13363,52630,6,1313495484.133821,910.431139945984,68,72,3672,3888,8.303758151823033,0.1537732991078339,54.0,0.0,0
147.32.84.59,188.40.14.55,7525,50012,17,1313495484.144295,1277.3726720809937,1474,544,61908,22848,66.35181873894506,1.5798052080701206,42.0,0.0,0
147.32.84.229,151.183.0.36,443,52748,6,1313495484.145018,1268.7647368907928,605,736,32670,39744,57.074410956168414,1.056933536225341,54.0,0.0,0
147.32.86.165,213.146.189.204,65326,12350,6,1313495484.145346,1246.4314880371094,28,14,1512,756,1.8195945960669409,0.0336961962234618,54.0,0.0,0
147.32.84.229,85.221.185.123,13363,29464,17,1313495484.146848,0.0008139610290527,1,1,42,42,103199.0439367311,2457.120093731693,42.0,0.0,0
147.229.147.170,147.32.84.229,34626,13363,17,1313495484.176406,0.0007400512695312,1,1,42,42,113505.64948453609,2702.5154639175257,42.0,0.0,0
147.32.84.229,83.84.129.70,13363,30789,17,1313495484.180168,1097.22975897789,3,3,126,126,0.229669308490819,0.005468316868829,42.0,0.0,0
147.32.84.229,213.29.199.17,13363,19936,6,1313495484.180642,1233.8835480213163,40,52,2160,2808,4.026311889778251,0.0745613312921898,54.0,0.0,0
147.32.86.131,195.250.146.100,46130,8000,6,1313495484.183443,1277.2163000106812,13207,22023,713178,1189242,1489.5049491492478,27.58342498424533,54.0,0.0,0
147.32.84.229,95.132.152.136,13363,16384,17,1313495484.183617,0.0018579959869384,1,1,42,42,45210.00076992173,1076.428589760041,42.0,0.0,0
147.32.84.59,88.198.20.218,53806,38088,6,1313495484.187129,211.4751410484314,99,56,5346,3024,39.57912007295045,0.732946668017601,54.0,0.0,0
147.32.84.59,88.198.20.218,42902,443,6,1313495484.199848,1276.3591420650482,3561,2407,192294,129978,252.49319676481448,4.675799940089156,54.0,0.0,0
147.32.84.94,72.189.123.241,7103,7456,17,1313495484.203925,915.626246213913,6,0,252,0,0.2752214684124799,0.006552892105059,42.0,0.0,0
147.32.84.94,77.58.199.122,7103,7352,17,1313495484.204338,13.766796827316284,129,21,5418,882,457.6227919264012,10.895780760152409,42.0,0.0,0
147.32.84.59,74.125.232.192,49835,443,6,1313495484.210683,507.4667458534241,39,63,2106,3402,10.85391317757582,0.20099839217733,54.0,0.0,0
147.32.84.59,2.21.92.124,59581,80,6,1313495484.21306,21.405827045440677,3,3,162,162,15.136065488719822,0.2802975090503671,54.0,0.0,0
147.32.84.229,83.60.14.9,13363,15456,17,1313495484.21396,609.8084280490875,2,2,84,84,0.2754963563515665,0.0065594370559896,42.0,0.0,0
147.32.84.59,188.40.95.8,48019,443,6,1313495484.222527,57.28688597679138,99,63,5346,3402,152.7051060786246,2.8278723347893444,54.0,0.0,0
147.32.84.59,66.220.151.71,3440,80,6,1313495484.228161,333.0257318019867,17,19,918,1026,5.837386767326076,0.1080997549504829,54.0,0.0,0
147.32.84.59,74.125.232.214,49841,443,6,1313495484.233495,538.5241360664368,72,93,3888,5022,16.545219430797786,0.3063929524221812,54.0,0.0,0
147.32.80.9,147.32.86.20,53,63114,17,1313495484.247678,0.0004439353942871,1,1,42,42,189216.72180451127,4505.160042964554,42.0,0.0,0
147.32.86.111,192.168.1.99,62281,161,17,1313495484.248369,1270.9211790561676,65,0,2730,0,2.148048238544107,0.0511440056796215,42.0,0.0,0
147.32.86.20,80.239.207.156,1971,80,6,1313495484.248377,0.3105719089508056,13,23,702,1242,6259.419940996428,115.91518409252645,54.0,0.0,0
129.132.3.72,147.32.86.34,22,47995,6,1313495484.251687,686.3799259662628,342,394,18468,21276,57.90379132089232,1.0722924318683762,54.0,0.0,0
147.32.84.229,94.192.31.41,13363,63504,6,1313495484.252966,1208.2304260730743,28,27,1512,1458,2.458140381096787,0.045521118168459,54.0,0.0,0
147.32.84.229,81.90.173.232,13363,5552,17,1313495484.255785,797.8310949802399,3,3,126,126,0.3158563279690689,0.0075203887611683,42.0,0.0,0
147.32.84.229,81.90.173.232,13363,3491,6,1313495484.25641,1243.6346142292025,146,131,7884,7074,12.027648498084693,0.2227342314460128,54.0,0.0,0
147.32.84.229,80.175.99.1,13363,37982,17,1313495484.259031,1207.4166378974917,3,3,126,126,0.2087100608774239,0.0049692871637481,42.0,0.0,0
147.32.84.229,80.5.43.14,13363,10020,6,1313495484.259684,1267.631510972977,92,98,4968,5292,8.093834770740976,0.1498858290877958,54.0,0.0,0
147.32.84.229,81.90.173.232,13363,17137,17,1313495484.260682,1227.95254778862,3,3,126,126,0.2052196564548187,0.0048861822965433,42.0,0.0,0
147.32.86.88,192.168.88.2,3389,7910,6,1313495484.271036,6.006342172622681,2,0,108,0,17.980993572472677,0.3329813624531977,54.0,0.0,0
147.32.87.44,69.164.206.65,123,123,17,1313495484.277425,1051.1563868522644,2,2,84,84,0.159823982521843,0.0038053329171867,42.0,0.0,0
147.32.84.59,74.125.39.116,34831,80,6,1313495484.293592,16.708940982818604,3941,3160,212814,170640,22949.03072518458,424.9820504663812,54.0,0.0,0
147.32.84.229,193.219.64.3,13363,60195,17,1313495484.310108,0.038316011428833,2,2,84,84,4384.589985626194,104.39499965776652,42.0,0.0,0
147.32.84.111,64.12.29.228,62792,5190,6,1313495484.318563,1261.0734040737152,76,110,4104,5940,7.964643428014825,0.1474933968150893,54.0,0.0,0
147.32.86.44,187.52.153.14,443,40073,6,1313495484.330678,4.244515895843506,5,5,270,270,127.22298920562451,2.355981281585639,54.0,0.0,0
147.32.84.229,62.43.161.40,13363,23865,17,1313495484.339783,0.0009231567382812,1,1,42,42,90992.13223140496,2166.4793388429757,42.0,0.0,0
147.32.86.171,95.169.195.132,63022,4685,17,1313495484.340688,1216.140219926834,3,3,126,126,0.2072129478746792,0.0049336416160637,42.0,0.0,0
147.32.86.239,75.139.130.133,161,51350,17,1313495484.343677,1273.1116218566897,0,85,0,3570,2.804153177702956,0.0667655518500703,42.0,0.0,0
147.32.84.229,193.9.13.135,443,58540,6,1313495484.358919,1277.0623450279236,1307,1471,70578,79434,117.4664655833384,2.17530491820997,54.0,0.0,0
147.32.84.229,212.65.208.222,13363,1835,6,1313495484.35925,671.9865128993988,95,103,5130,5562,15.911033621593932,0.294648770770258,54.0,0.0,0
147.32.80.9,147.32.85.26,53,53284,17,1313495484.359259,0.0003061294555664,1,1,42,42,274393.7196261682,6533.183800623053,42.0,0.0,0
147.32.80.9,147.32.85.26,53,55166,17,1313495484.361056,0.0003058910369873,1,1,42,42,274607.58846453624,6538.275915822292,42.0,0.0,0
147.32.84.181,86.120.139.140,3389,1732,6,1313495484.37046,3.1253809928894043,21,20,1134,1080,708.3936342599833,13.118400634444134,54.0,0.0,0
134.184.196.198,147.32.84.59,57181,16838,17,1313495484.380651,1276.058317899704,45,50,1890,2100,3.126816340625592,0.0744480081101331,42.0,0.0,0
147.32.84.59,151.67.219.243,16838,40661,17,1313495484.380766,1276.101504087448,24,23,1008,966,1.5468988898431129,0.0368309259486455,42.0,0.0,0
109.80.225.83,147.32.84.171,49258,57116,6,1313495484.385346,1277.137489080429,28173,24423,1521342,1318842,2223.867065436317,41.182723434005865,54.0,0.0,0
147.32.84.59,88.164.47.208,60458,42221,17,1313495484.396105,1260.1215360164642,64,64,2688,2688,4.266255155827889,0.1015775037101878,42.0,0.0,0
147.32.84.59,85.168.70.114,60458,16429,17,1313495484.396216,1260.1004621982574,64,64,2688,2688,4.266326504334041,0.1015792024841438,42.0,0.0,0
147.32.84.59,78.251.218.141,60458,61063,17,1313495484.396412,366.0615320205689,23,17,966,714,4.589392364520841,0.1092712467743057,42.0,0.0,0
147.32.84.59,78.236.37.185,60458,54437,17,1313495484.396499,1260.1258370876312,64,64,2688,2688,4.266240594213087,0.1015771570050735,42.0,0.0,0
147.32.80.13,147.32.85.117,80,3609,6,1313495484.403143,0.5792601108551025,14,14,756,756,2610.226341613595,48.33752484469621,54.0,0.0,0
147.32.84.59,217.10.10.196,37912,5222,6,1313495484.403247,1265.053100824356,24,24,1296,1296,2.0489258500777203,0.0379430712977355,54.0,0.0,0
147.32.80.13,147.32.85.117,80,3611,6,1313495484.403467,90.35978317260742,246,174,13284,9396,250.9966182264528,4.648085522712089,54.0,0.0,0
147.32.80.13,147.32.85.117,80,3613,6,1313495484.40406,36.229878187179565,129,95,6966,5130,333.8680836161446,6.182742289187862,54.0,0.0,0
147.32.80.13,147.32.85.117,80,3615,6,1313495484.404312,679.6232051849365,269,205,14526,11070,37.66204538739214,0.6974452849517063,54.0,0.0,0
147.32.80.13,147.32.85.117,80,3617,6,1313495484.404764,0.4699599742889404,22,18,1188,972,4596.136092798385,85.11363134811823,54.0,0.0,0
147.32.84.216,199.47.217.144,33186,80,6,1313495484.419866,1211.4348130226135,17,34,918,1836,2.2733373437804545,0.042098839699638,54.0,0.0,0
147.32.84.59,151.65.190.199,64056,20010,6,1313495484.427483,399.50683784484863,21,34,1134,1836,7.434165622850793,0.1376697337564961,54.0,0.0,0
147.32.84.229,187.5.127.228,13363,38549,17,1313495484.430324,1266.930186033249,11,11,462,462,0.7293219549003238,0.0173648084500077,42.0,0.0,0
147.32.84.229,150.101.207.160,13363,51233,17,1313495484.430586,0.4919469356536865,2,2,84,84,341.5002469255467,8.130958260132065,42.0,0.0,0
147.32.84.59,209.85.148.103,50424,80,6,1313495484.433325,0.0096528530120849,2,1,108,54,16782.60300837306,310.78894459950106,54.0,0.0,0
147.32.84.59,209.85.148.103,50425,80,6,1313495484.433511,0.009408950805664,2,1,108,54,17217.64767889722,318.8453273869856,54.0,0.0,0
147.32.84.59,209.85.148.104,50423,80,6,1313495484.433526,0.0097079277038574,2,1,108,54,16687.392504543444,309.0257871211749,54.0,0.0,0
147.32.84.229,219.214.180.77,13363,4529,17,1313495484.436477,0.0007159709930419,1,1,42,42,117323.1888111888,2793.4092574092574,42.0,0.0,0
147.32.84.59,89.103.154.52,16838,19998,17,1313495484.458386,1260.3548049926758,28,25,1176,1050,1.766169328812878,0.0420516506860209,42.0,0.0,0
147.32.84.59,151.65.190.199,16838,20010,17,1313495484.458469,677.0454490184784,43,43,1806,1806,5.334944655837157,0.1270224918056466,42.0,0.0,0
147.32.84.59,46.4.89.202,7525,50012,17,1313495484.464945,1254.440733909607,1310,860,55020,36120,72.65389072304106,1.729854541024787,42.0,0.0,0
147.32.84.229,87.147.211.60,13363,53621,6,1313495484.466986,1234.2839200496674,26,28,1404,1512,2.362503434284926,0.0437500635978689,54.0,0.0,0
109.239.214.159,147.32.84.229,32786,13363,17,1313495484.467871,1146.2044279575348,22,22,924,924,1.6122778406056426,0.0383875676334676,42.0,0.0,0
147.32.84.229,85.160.90.204,13363,49995,6,1313495484.46793,983.8871920108796,31,22,1674,1188,2.908870064819741,0.0538679641633285,54.0,0.0,0
147.32.84.59,78.46.40.76,7525,53012,17,1313495484.468854,998.6363821029664,1334,624,56028,26208,82.34829160422167,1.9606736096243251,42.0,0.0,0
147.32.84.59,188.40.108.117,7525,50012,17,1313495484.470239,1055.8818151950836,1170,417,49140,17514,63.12638312431309,1.5030091220074546,42.0,0.0,0
147.32.84.59,88.198.5.134,7525,54012,17,1313495484.470313,1088.1630599498749,1320,220,55440,9240,59.43962111981583,1.4152290742813292,42.0,0.0,0
147.32.84.59,46.4.100.130,7525,53012,17,1313495484.470933,1199.7238190174105,1271,286,53382,12012,54.50754495610378,1.2977986894310425,42.0,0.0,0
147.32.84.229,79.84.245.87,13363,43954,17,1313495484.480858,349.1859579086304,15,7,630,294,2.6461545175931107,0.0630036789903121,42.0,0.0,0
147.32.84.59,195.23.102.206,2122,1935,6,1313495484.48473,1276.8816010951996,3629,6567,195966,354618,431.1942466143738,7.985078641006923,54.0,0.0,0
124.8.236.164,147.32.84.229,7539,13363,17,1313495484.487869,0.0005910396575927,1,1,42,42,142122.44292053249,3383.8676885841064,42.0,0.0,0
121.11.151.71,147.32.84.165,80,1074,6,1313495484.502315,224.44120001792908,3,1,162,54,0.9623901493252808,0.01782203980232,54.0,0.0,1
147.32.84.229,80.122.118.50,13363,52355,6,1313495484.504216,1240.9185299873352,132,167,7128,9018,13.01132959966742,0.2409505481419893,54.0,0.0,0
147.32.84.172,88.176.79.163,45234,49397,6,1313495484.507158,1276.8281419277191,74781,43435,4038174,2345490,4999.626645416919,92.58567861883184,54.0,0.0,0
147.32.80.9,147.32.84.138,53,57089,17,1313495484.50796,0.0004010200500488,1,1,42,42,209465.8359096314,4987.281807372176,42.0,0.0,0
147.32.80.9,147.32.84.138,53,59468,17,1313495484.507974,738.0134320259094,3,3,126,126,0.3414571999160484,0.0081299333313344,42.0,0.0,0
147.32.84.59,195.113.232.89,59336,80,6,1313495484.513765,35.422526836395264,3,2,162,108,7.622268203706618,0.1411531148834559,54.0,0.0,0
147.32.80.9,147.32.84.138,53,58547,17,1313495484.516797,0.0001859664916992,1,1,42,42,451694.27692307695,10754.62564102564,42.0,0.0,0
147.32.80.9,147.32.84.138,53,58394,17,1313495484.516888,0.0002121925354003,1,1,42,42,395866.8943820225,9425.402247191012,42.0,0.0,0
147.32.80.9,147.32.84.138,53,42498,17,1313495484.524016,26.26472401618957,2,2,84,84,6.396412157098807,0.1522955275499715,42.0,0.0,0
147.32.80.9,147.32.84.138,53,43966,17,1313495484.524023,0.0002529621124267,1,1,42,42,332065.5381715363,7906.32233741753,42.0,0.0,0
147.32.80.9,147.32.84.138,53,56926,17,1313495484.528287,1008.3155071735382,2,2,84,84,0.1666145157986606,0.0039670122809204,42.0,0.0,0
147.32.80.9,147.32.84.138,53,56786,17,1313495484.528316,0.0003199577331542,1,1,42,42,262534.67660208646,6250.82563338301,42.0,0.0,0
147.32.84.59,192.168.182.1,60932,139,6,1313495484.529606,1e-06,1,0,54,0,54000000.0,1000000.0,54.0,0.0,0
147.32.80.9,147.32.84.138,53,49521,17,1313495484.532729,0.0002820491790771,1,1,42,42,297820.4023668639,7090.961961115807,42.0,0.0,0
147.32.80.9,147.32.84.138,53,52461,17,1313495484.532733,807.8130450248718,2,2,84,84,0.2079689119093483,0.0049516407597463,42.0,0.0,0
145.236.20.107,147.32.84.59,47212,49795,6,1313495484.532864,418.081690788269,19,17,1026,918,4.649808979519528,0.086107573694806,54.0,0.0,0
147.32.80.9,147.32.84.138,53,47543,17,1313495484.537135,339.9968101978302,2,2,84,84,0.4941222828009701,0.0117648162571659,42.0,0.0,0
147.32.80.9,147.32.84.138,53,34386,17,1313495484.537257,0.0001709461212158,1,1,42,42,491382.8953974896,11699.592747559274,42.0,0.0,0
147.32.80.9,147.32.84.138,53,46424,17,1313495484.541447,0.0004100799560546,1,1,42,42,204838.1023255814,4877.097674418605,42.0,0.0,0
147.32.80.9,147.32.84.138,53,52194,17,1313495484.54204,0.0001688003540039,1,1,42,42,497629.2881355932,11848.316384180793,42.0,0.0,0
101.8.184.87,147.32.84.229,53604,13363,6,1313495484.56591,1149.4200048446655,67,56,3618,3024,5.778566557050319,0.1070104917972281,54.0,0.0,0
147.32.84.229,151.45.55.39,13363,26463,6,1313495484.566404,1171.2943267822266,113,103,6102,5562,9.95821437302038,0.1844113772781552,54.0,0.0,0
147.32.84.94,91.128.191.53,7103,7178,17,1313495484.567107,646.0203759670258,3,0,126,0,0.1950402877175368,0.004643816374227,42.0,0.0,0
147.32.84.229,46.147.201.91,13363,27029,17,1313495484.577597,0.0007431507110595,1,1,42,42,113032.2540904716,2691.2441450112287,42.0,0.0,0
147.32.193.105,147.32.84.59,1194,58239,17,1313495484.57867,1274.0652649402618,223,187,9366,7854,13.515791124568024,0.321804550584953,42.0,0.0,0
147.32.86.58,77.75.73.9,3082,80,6,1313495484.581172,3.018528938293457,6,6,324,324,214.67410558149248,3.975446399657268,54.0,0.0,0
147.32.84.229,193.85.162.208,13363,20834,6,1313495484.591275,1270.6905279159546,36,49,1944,2646,3.6122091879664895,0.0668927627401201,54.0,0.0,0
147.32.84.172,88.176.79.163,52935,49410,6,1313495484.603677,1276.5649020671844,60270,34196,3254580,1846584,3996.0083437508847,74.00015451390527,54.0,0.0,0
147.32.84.59,78.46.51.208,58003,38088,6,1313495484.605774,42.782346963882446,706,371,38124,20034,1359.3924627159406,25.17393449473964,54.0,0.0,0
147.32.84.229,95.27.46.168,13363,4722,17,1313495484.607725,1227.8590261936188,3,2,126,84,0.1710294060801125,0.0040721287161931,42.0,0.0,0
147.32.84.229,212.55.241.153,13363,8966,17,1313495484.614659,0.0006439685821533,1,1,42,42,130441.14624213254,3105.741577193632,42.0,0.0,0
147.32.84.229,79.81.125.214,13363,23134,17,1313495484.619937,0.0016810894012451,1,1,42,42,49967.598354843285,1189.704722734364,42.0,0.0,0
147.32.84.242,66.249.72.237,443,37909,6,1313495484.620658,6.265257120132446,14,15,756,810,249.94983764798707,4.628700697184946,54.0,0.0,0
147.32.84.59,76.13.114.90,53828,80,6,1313495484.646047,0.3257358074188232,5,4,270,216,1492.006678206897,27.629753300127724,54.0,0.0,0
147.32.84.229,155.56.68.216,443,63108,6,1313495484.655102,1270.5732960700989,282,298,15228,16092,24.650289831270022,0.4564868487272227,54.0,0.0,0
147.32.84.229,91.198.212.24,13363,59837,17,1313495484.65655,0.0005731582641601,1,1,42,42,146556.37936772045,3489.4376039933445,42.0,0.0,0
147.32.84.229,84.97.148.116,443,49451,6,1313495484.677157,1270.710237979889,271,307,14634,16578,24.56264147963368,0.4548637311043273,54.0,0.0,0
147.228.47.183,147.32.86.223,2009,7652,6,1313495484.67731,93.18525409698486,6,0,324,0,3.476944964519697,0.0643878697133277,54.0,0.0,0
147.32.84.59,151.67.219.243,64049,40661,6,1313495484.680361,281.7067608833313,25,34,1350,1836,11.309632718823812,0.2094376429411817,54.0,0.0,0
147.32.84.229,86.135.174.208,13363,12537,6,1313495484.680758,19.577903985977173,4,0,216,0,11.032846016341264,0.2043119632655789,54.0,0.0,0
147.32.80.9,147.32.84.59,53,35064,17,1313495484.683924,0.0002801418304443,1,1,42,42,299848.11574468086,7139.24085106383,42.0,0.0,0
147.32.84.59,216.239.113.95,57021,80,6,1313495484.69304,211.0946350097656,7,1,378,54,2.046475506021339,0.0378976945559507,54.0,0.0,0
147.32.84.229,76.119.216.169,13363,44482,17,1313495484.695699,1252.764522075653,45,43,1890,1806,2.9502751194424413,0.0702446457010105,42.0,0.0,0
147.32.84.59,74.125.39.117,37541,80,6,1313495484.696948,20.70285391807556,4843,3787,261522,204498,22509.940022960804,416.85074116594086,54.0,0.0,0
147.32.86.58,77.75.72.6,3008,80,6,1313495484.703538,107.3003339767456,139,194,7506,10476,167.58568527752303,3.1034386162504264,54.0,0.0,0
147.32.86.171,209.85.148.105,3619,80,6,1313495484.71595,0.8354740142822266,6,6,324,324,775.6076058891078,14.363103812761256,54.0,0.0,0
147.32.85.25,84.246.164.71,22,33940,6,1313495484.727548,1275.523831129074,878,837,47412,45198,72.60546431188436,1.3445456354052658,54.0,0.0,0
147.32.84.229,80.86.147.232,443,63750,6,1313495484.733903,1188.298551082611,36,38,1944,2052,3.362791275272872,0.0622739125050531,54.0,0.0,0
147.32.84.229,81.214.230.119,13363,1036,6,1313495484.733911,1205.470283985138,27,26,1458,1404,2.374177147310987,0.0439662434687219,54.0,0.0,0
147.32.85.8,173.203.109.110,42486,80,6,1313495484.765751,222.9940612316132,47,26,2538,1404,17.677600821421137,0.3273629781744654,54.0,0.0,0
